Chicago Community Areas,Zip Code,Chicago Areas,Area Grouped
1,60626,Far North Side,North Side
1,60645,Far North Side,North Side
1,60660,Far North Side,North Side
2,60626,Far North Side,North Side
2,60645,Far North Side,North Side
2,60659,Far North Side,North Side
2,60660,Far North Side,North Side
3,60613,Far North Side,North Side
3,60640,Far North Side,North Side
4,60618,Far North Side,North Side
4,60625,Far North Side,North Side
4,60640,Far North Side,North Side
4,60659,Far North Side,North Side
4,60660,Far North Side,North Side
5,60613,North Side,North Side
5,60614,North Side,North Side
5,60618,North Side,North Side
5,60657,North Side,North Side
6,60613,North Side,North Side
6,60614,North Side,North Side
6,60657,North Side,North Side
7,60610,North Side,North Side
7,60614,North Side,North Side
7,60642,North Side,North Side
7,60647,North Side,North Side
7,60657,North Side,North Side
8,60610,Central,Central
8,60611,Central,Central
8,60642,Central,Central
8,60654,Central,Central
9,60068,Far North Side,North Side
9,60631,Far North Side,North Side
10,60630,Far North Side,North Side
10,60631,Far North Side,North Side
10,60646,Far North Side,North Side
10,60656,Far North Side,North Side
11,60630,Far North Side,North Side
11,60646,Far North Side,North Side
12,60630,Far North Side,North Side
12,60646,Far North Side,North Side
12,60659,Far North Side,North Side
12,60714,Far North Side,North Side
13,60625,Far North Side,North Side
13,60630,Far North Side,North Side
13,60646,Far North Side,North Side
13,60659,Far North Side,North Side
14,60618,Far North Side,North Side
14,60625,Far North Side,North Side
14,60630,Far North Side,North Side
14,60641,Far North Side,North Side
15,60630,Northwest Side,North Side
15,60634,Northwest Side,North Side
15,60641,Northwest Side,North Side
15,60706,Northwest Side,North Side
16,60618,Northwest Side,North Side
16,60630,Northwest Side,North Side
16,60641,Northwest Side,North Side
17,60634,Northwest Side,North Side
17,60707,Northwest Side,North Side
18,60634,Northwest Side,North Side
18,60707,Northwest Side,North Side
19,60634,Northwest Side,North Side
19,60639,Northwest Side,North Side
19,60641,Northwest Side,North Side
19,60707,Northwest Side,North Side
20,60639,Northwest Side,North Side
20,60641,Northwest Side,North Side
20,60647,Northwest Side,North Side
21,60618,North Side,North Side
21,60639,North Side,North Side
21,60641,North Side,North Side
21,60647,North Side,North Side
22,60614,North Side,North Side
22,60618,North Side,North Side
22,60622,North Side,North Side
22,60639,North Side,North Side
